ligando_rdkt3d11,PBF,PMI1,PMI2,PMI3,NPR1,NPR2,RadiusOfGyration,InertialShapeFactor,Eccentricity,Asphericity,SpherocityIndex
lig_76573,0,0,0,0,0,0,0,0,0,0,0
lig_86609,0.9357305450187391,588.8991533687482,1023.5481126081812,1345.4317742329229,0.4377027246175303,0.7607580943238399,2.690174476159452,0.0012918308507865685,0.8991197500124166,0.19770616749317646,0.37699180908054547
lig_91354,0.8756760573117682,623.1913428085571,840.7586204040183,1266.4162157514415,0.4920904636701765,0.6638880724573992,2.584643746685182,0.001065303746784146,0.8705440687092588,0.17230497833222289,0.35650130232612715
lig_92231,0.9041747720030837,767.9777272752725,880.1629610582953,1376.3321338155351,0.5579886630607448,0.6394989548186052,2.6196749373484955,0.0008327050799864985,0.8298485716657484,0.13749524321586012,0.39968988961389423
lig_92776,0,0,0,0,0,0,0,0,0,0,0
lig_93081,0.975566881108496,597.1522140831374,1035.0667596598673,1343.3228807110168,0.44453364314547117,0.7705271565924714,2.6981946364727585,0.0012903362633855965,0.8957621559944441,0.19055251968174136,0.4107920707165579
lig_94254,0.9896964617280543,490.84837434721015,1126.9793737871692,1296.5196326512407,0.3785892338116616,0.8692343296665856,2.6703051995953624,0.0017708815493635876,0.925564796241678,0.2549061840073643,0.4513345697005052
lig_119853,0.9196547864032582,372.8364118280448,1883.9855371395893,1902.1704427796894,0.19600578551899353,0.9904399178795323,3.058313378286935,0.00265649997279861,0.9806027391574441,0.5345096563182681,0.2947172728982492
lig_122850,0.49253101429534774,784.8540612851893,2998.419958764913,3580.8209889704394,0.21918271360190256,0.8373554466979991,3.574014162012488,0.0010668931818061046,0.9756838309914264,0.4815239244146741,0.10372886912444976
lig_154279,0.6661175531805705,687.1142385518301,2808.2782632929343,3299.4614819419676,0.20825041974650196,0.8511323070939634,3.5453972022985396,0.001238705675620723,0.978075540372729,0.5009723070900267,0.1651987843174497
lig_160799,0.868445378229169,841.5771143619305,927.654294063684,1501.6600683608417,0.5604311735348773,0.6177525217649812,2.7119271481439187,0.0007340414933138369,0.8282010020099712,0.14442860786585773,0.3238404669318136
lig_316974,0.4222217947731404,297.6016600694803,1882.5341495516507,2128.245463456876,0.1398342743726988,0.8845474743753851,3.185452703451882,0.0029722531593703878,0.9901749217742595,0.6382495603177051,0.0875237763664743
lig_440917,0.5514567279046868,160.62429593664936,645.1533372033571,765.1796734515958,0.20991709726435934,0.8431396697891617,2.401143212676774,0.005249141575205399,0.9777191888656503,0.49812408068110936,0.183698156765947
lig_440967,0.9364289729357538,246.11412078271496,384.9730591021936,427.83332413654165,0.5752570145848864,0.8998201808593355,1.9713673129125175,0.0036561095234911504,0.817972717864651,0.09656660293269269,0.6667226748367081
lig_440968,0.9399673565983141,247.82019655642023,376.97446050332036,432.07338260665983,0.5735604333258005,0.8724778606566027,1.9694558740195018,0.0035206083797047153,0.8191632494949465,0.0960920152250297,0.6183832721327697
lig_441005,0.6403581213654146,694.5390542146505,911.5624643186308,1516.5109987050184,0.45798484469135564,0.6010918912536959,2.764071614709896,0.000865454415566854,0.8889600002435626,0.22330679232049633,0.18678102269922367
lig_442495,0,0,0,0,0,0,0,0,0,0,0
lig_442501,0.7272572214347874,209.83766111692302,741.1054793921502,813.552272555888,0.2579276933953964,0.9109500451198593,2.391544462184311,0.004341213299228834,0.9661642225728142,0.41880653803584106,0.3184185727880129
lig_444972,0,0,0,0,0,0,0,0,0,0,0
lig_445638,0,0,0,0,0,0,0,0,0,0,0
lig_445639,0,0,0,0,0,0,0,0,0,0,0
lig_576906,0.9404098127053696,300.6064490406065,529.4904838504059,578.1026659538783,0.5199879999594903,0.9159108148666613,2.150586928305493,0.0030468767978525245,0.8541735654409642,0.13288296645618425,0.6513923895815739
lig_636822,0.25592759607874616,731.464407310635,1139.161951161163,1857.6540235568225,0.39375707103420204,0.6132261103066041,2.9918476931803126,0.0008383539980588311,0.9192145391640443,0.2806821189452861,0.04775423388927566
lig_643779,0,0,0,0,0,0,0,0,0,0,0
lig_656496,0.8018188347681191,432.65929668772986,1200.4211494675642,1440.9684093392289,0.30025592086791847,0.833065556251875,2.742493617981842,0.0019254539602627254,0.9538586803000527,0.3521794482808233,0.3069406480560151
lig_1549025,0.6598419942379673,494.47712319654397,1931.0524475719142,2317.1053950359988,0.21340294846141936,0.8333899924055518,3.475727852501175,0.0016853964588252495,0.9769642683271342,0.4921407663028722,0.14507101080905713
lig_1549109,0.7626541803108194,383.8549350824696,3505.9038567042317,3621.857243637078,0.10598290028046535,0.9679851029091345,4.109714392338588,0.0025217471873877745,0.9943679524442351,0.7176080706535586,0.14347389885986833
lig_1549992,0.8151793738769764,409.8635907888731,2352.645849146756,2526.2748933856005,0.16224029770552495,0.9312707240635422,3.448441635096607,0.0022721479657929746,0.9867512785907209,0.5923045836921714,0.2125060216203472
lig_1742210,1.020315419282618,594.7317023137306,1119.5875207808708,1392.992242467726,0.4269454517996067,0.8037284678610191,2.6553083171578624,0.0013514135277036894,0.9042773806679175,0.204537407595743,0.4593149768031176
lig_1794427,0,0,0,0,0,0,0,0,0,0,0
lig_3034034,0.8000850114884926,1051.9752094963342,3651.2108840049314,4277.19223832846,0.24594994820888605,0.8536466636420896,3.7145156393201533,0.0008114703235742594,0.9692825300066261,0.4352266345881276,0.21541495964776203
lig_3083788,0,0,0,0,0,0,0,0,0,0,0
